method,seed,intent_id,intent_name,feature_id,test_intent_support,active_test_ids,top_k_observed,top20_intent_purity,top20_locale_entropy,cross_locale_stability,heldout_auc,validation_auc,validation_stability,top_ids
Blockwise SAE control,20260827,44,email_query,2728,119,209,20,0.5,0.8812908992306927,0.4286093300510327,0.7583524810415567,0.7353730542136339,0.5803997097391367,16170|15968|16010|16930|16677|17142|15942|16271|16914|16916|16459|16437|16373|7258|17020|8204|16719|16535|16029|9632
Blockwise SAE control,20260827,45,play_music,602,176,110,20,0.7,0.8112781244591328,0.18251464976833465,0.6566509019275854,0.700832381263261,0.5460131784870776,3174|5911|891|4452|9364|5615|5347|2770|9519|3489|1940|2062|9656|1318|783|3546|9545|2531|5229|9738
Blockwise SAE control,20260827,46,audio_volume_mute,992,32,68,20,0.8,0.934068055375491,0.5245576393190575,0.840620742506812,0.9140981735159818,0.7487816362983717,2205|6166|3582|315|3460|2795|189|3837|608|5525|3812|2206|5813|3|6064|4653|12104|13346|2207|1510
Blockwise SAE control,20260827,47,social_post,950,81,83,20,0.8,0.9927744539878083,0.7234974575528292,0.6275128609732004,0.5933144599303135,0.4850573624646814,15459|15708|15518|15647|15652|15556|15670|15557|15593|15472|15676|15399|15548|15409|15592|6737|17011|15598|1993|3727
Blockwise SAE control,20260827,48,alarm_set,1117,41,8,8,0.625,0.0,0.0,0.5604923046155641,0.658502119642016,-0.004673861650668853,174|1719|8867|14419|5365|6923|13363|3986
Blockwise SAE control,20260827,49,qa_factoid,1942,141,127,20,0.95,0.934068055375491,0.5914769155564293,0.6368202264385723,0.6712053571428571,0.8439819673931839,14306|13974|15095|14933|13774|14545|14317|14096|14118|13592|13798|14015|14539|14316|15055|14038|13717|14442|5497|13487
Blockwise SAE control,20260827,50,calendar_set,906,209,124,20,0.8,0.28639695711595625,0.5188957451825017,0.6414899649862739,0.6031931818181817,0.2212567438873803,8206|8358|8413|16158|5341|8539|8541|6994|6836|8035|6936|7863|6764|10957|7808|8204|8570|9035|8585|7455
Blockwise SAE control,20260827,51,play_game,419,35,38,20,0.8,0.7219280948873623,0.47572595022120884,0.7551166528663972,0.8738724226804124,0.6235224308250785,10357|10308|10292|10247|6633|10319|10321|10288|10346|10406|10355|10302|7889|10317|10365|10339|13372|11600|11633|10333
Blockwise SAE control,20260827,52,alarm_remove,2267,21,109,20,0.25,0.0,0.2600608543298116,0.7492041947420297,0.619078196347032,0.2783280149386812,9030|11133|8276|8055|9074|2983|1452|6798|8409|10936|1675|7953|8771|10525|10887|11168|8182|201|3435|10985
Blockwise SAE control,20260827,53,lists_remove,1320,52,93,20,0.45,0.4689955935892812,-0.012813015108290443,0.6723185079666562,0.710548885077187,0.21511471947374233,10808|10970|10590|3435|10828|399|10565|10430|10816|11162|8888|1833|10957|7836|8732|10636|10743|11124|10895|8856
Blockwise SAE control,20260827,54,transport_taxi,438,23,65,20,0.9,0.8112781244591328,0.7662999972761596,0.9556949878201817,1.0,0.9565122323796323,12299|12844|12383|12212|12710|12553|12608|12329|12213|12745|12161|12244|12121|16797|12558|12905|12377|12779|2480|12159
Blockwise SAE control,20260827,55,recommendation_movies,684,20,41,20,0.65,0.8112781244591328,0.7268562136793271,0.898236092265943,1.0,0.7972586698157301,6621|11633|11990|11920|13181|11600|11861|11871|11812|11987|11634|11954|11862|11858|6892|11636|11773|13575|11607|2165
Blockwise SAE control,20260827,56,iot_coffee,2061,36,62,20,1.0,0.6098403047164004,0.8974854097908391,0.9858221540093982,1.0,0.978744136458351,4084|4244|2512|1276|3568|2026|5917|3321|4988|6034|2753|2868|6061|448|2812|3418|4272|5017|6060|3323
Blockwise SAE control,20260827,57,music_query,847,35,59,20,0.4,0.8112781244591328,0.3411889403127776,0.6218206614387999,0.5269650028686174,-0.00238850659268808,4189|6267|5615|5250|3742|13871|14767|11302|15732|3864|4560|1812|14151|2355|13683|11265|14040|2093|5401|379
Blockwise SAE control,20260827,58,play_podcasts,1397,63,116,20,1.0,0.7219280948873623,0.6696613108138324,0.9260361172581483,0.8993103448275862,0.8412136999229867,11318|11345|11409|11459|11417|11539|11438|11270|11366|11303|11474|11279|11259|11476|11490|11458|11296|11343|11505|11261
Blockwise SAE control,20260827,59,lists_query,2669,51,65,20,0.45,0.7219280948873623,0.05126297629416917,0.6693890446133888,0.534856652781181,,10855|10927|10805|11426|2057|6489|11168|13122|10887|10731|5531|10909|10776|3204|10981|10579|10858|2094|11133|10760
Blockwise SAE control,20260828,0,datetime_query,282,88,37,20,0.25,0.8112781244591328,0.32113019021049194,0.534698547979798,0.5473913043478261,-0.007356911609114564,4112|3091|5204|7199|4253|7293|9706|5523|660|2330|8079|4121|6992|6878|7520|944|7291|4881|7870|8520
Blockwise SAE control,20260828,1,iot_hue_lightchange,547,36,66,20,0.65,0.7219280948873623,0.5040262447221521,0.8288900257692889,0.8088737201365188,0.6806855282976811,2283|3050|1960|3532|8035|10696|4299|564|3734|2551|5732|456|2975|9341|10076|4247|1427|3542|4516|6902
